timeStamp,x,y,z,gx,gy,gz
1420650773771,0.20615104321818797,-0.09687282191091216,0.12649850103892385,-5.375132255056687,-1.8311153663414064,8.001272091442718,lying
1420650773820,0.20615104321818797,-0.09687282191091216,0.12649850103892385,-5.375132255056687,-1.8311153663414064,8.001272091442718,lying
1420650773871,-0.24811955050090326,-0.08279334268933161,-0.3946450683884322,-5.877316108073387,-1.8564041670425795,7.437138690594583,lying
1420650773920,-0.12669163072453812,0.050632267898763524,-0.6604059827104211,-5.539434471849073,-1.6950948164898203,7.328651573999226,lying
1420650773970,0.5486181075366213,-0.9578623042397201,-0.26193110863445324,-4.413860507699661,-2.6186580657958984,8.0317985462022,lying
1420650774020,1.2368578170575202,-0.1654419796783477,0.11227583222067915,-3.252373171588033,-1.674444713006541,8.699481652909284,lying
1420650774070,-0.9832140415087341,0.5741844374043866,0.4073841019196436,-5.0471267372131345,-0.8629600974151864,9.215880557693355,lying
1420650774120,0.973772332489863,-0.0035269545646078766,1.0034146796248853,-2.704400339685008,-1.5093944586069947,9.968557741137593,lying
1420650774170,3.4123967064142224,-0.7019634432405233,-0.6093869759498164,0.40776247024536133,-2.3415292236328122,8.580519365194625,lying
1420650774215,2.745094826710224,0.3345926046162844,1.711479654610902,1.2648866645812988,-1.4107833282470703,11.247360995129496,lying
1420650774267,2.745094826710224,0.3345926046162844,1.711479654610902,1.2648866645812988,-1.4107833282470703,11.247360995129496,lying
1420650774320,0.4072046902321279,-0.19099488380895926,0.6056197689034044,0.4327519523565308,-2.0042460830246096,10.243143036297708,lying
1420650774370,-1.158924974810332,-0.7649998912595212,1.503237447799742,0.046238019561767575,-2.720261998748779,11.037119723455607,lying
1420650774420,-5.559593444514274,1.076165077732876,0.44956952162235975,-3.5193268028259275,-0.9044096040587871,9.83493179937154,lying
1420650774470,-4.350965550510585,-0.40918570798151194,-2.21627538889274,-2.7488427810668945,-2.2089503797668963,7.289745650891215,lying
1420650774520,0.3185175585301593,0.3812179429952055,0.2628855598150752,1.267430540377833,-1.3409024942260235,9.870395381739641,lying
1420650774570,1.4681567820683121,-0.1736664035956375,2.2134774287372827,2.4568998161315916,-1.9029413887466302,11.815684468078613,lying
1420650774620,1.4900288605280219,-0.1769971919861622,2.478141926124692,2.6345196517944336,-1.9186533736740239,12.06079086303711,lying
1420650774670,1.2011179567649959,-0.5669433071697131,3.013536212287843,2.4136545486450194,-2.383427789218165,12.57389849859029,lying
1420650774716,0.6559921848561614,-0.11697556174369528,0.4731526052510366,1.9116203149657696,-2.0617069228683595,10.00267551665362,lying
1420650774770,-0.9729021985918282,0.12086932691237888,-0.1470738359526731,0.49455228042602534,-1.9671359481590334,9.321674581013527,lying
