timeStamp,alpha,beta,gamma
1420650351892,33.22664457534322,77.666289198859,-42.388862286828,standing
1420650351942,33.23010976496547,77.6924889295433,-42.449730552858284,standing
1420650351992,33.276479562390485,77.70913045505401,-42.53199356645125,standing
1420650352039,33.29298804148966,77.71289853396753,-42.593612115215244,standing
1420650352088,33.303220844809616,77.74490055082897,-42.668143259134396,standing
1420650352140,33.303220844809616,77.74490055082897,-42.668143259134396,standing
1420650352192,33.328539586246464,77.76999157131893,-42.766602861379525,standing
1420650352242,33.40155658355345,77.79764471948789,-42.9283293290316,standing
1420650352292,33.58879095078718,77.81466282488873,-43.209323129402456,standing
1420650352342,33.809987575184685,77.83654614387711,-43.60499498089652,standing
1420650352392,33.611417659973746,77.8718700960152,-43.65856773491542,standing
1420650352442,33.48944832790409,77.85101071791762,-43.625110961307264,standing
1420650352492,33.78390256999667,77.76208559905646,-43.86207981816363,standing
1420650352542,34.38460957400582,77.72008330573652,-44.187115233301924,standing
1420650352592,34.70106472893867,77.56064926306925,-44.01489518054163,standing
1420650352642,35.06148390927895,77.33966669790979,-43.62883240221012,standing
1420650352693,34.712270393238164,77.1158250721068,-42.47844059009258,standing
1420650352742,34.12611792715359,76.90684104943966,-41.29046157366521,standing
1420650352793,34.12611792715359,76.90684104943966,-41.29046157366521,standing
1420650352844,33.194088476380315,76.65422615840109,-40.106943377628085,standing
1420650352888,32.17882781577467,76.41932153168806,-38.851756690975954,standing
1420650352942,31.041182965446428,76.08733117818117,-37.377668611472906,standing
1420650352992,30.00130782890468,75.66992834446923,-36.00005962615132,standing
1420650353042,28.797751603735495,75.23663157523414,-34.452524817080906,standing
1420650353092,27.95056712903243,74.9386247579292,-33.340743314626735,standing
1420650353142,27.368300427624696,74.65267790535724,-32.63642374810269,standing
1420650353192,27.19982950804094,74.47290274820456,-32.44248572196475,standing
1420650353243,27.080132424988765,74.3321003479175,-32.330867085156704,standing
1420650353292,27.056836376110223,74.20779166981382,-32.36017435197947,standing
1420650353342,27.056836376110223,74.20779166981382,-32.36017435197947,standing
1420650353389,26.981008007835424,74.12928085191344,-32.362808715931635,standing
1420650353442,26.980043982078445,74.08401387776722,-32.43978522531952,standing
1420650353490,27.05394292173089,74.0705328051765,-32.58753934677796,standing
1420650353542,27.107763353408565,74.09327636746892,-32.736996757940474,standing
1420650353591,27.23103193154067,74.16888035410707,-32.968589640161454,standing
1420650353642,27.475797543916165,74.27029674521366,-33.31138629472787,standing
1420650353692,27.773876643278292,74.405665434213,-33.69806024954271,standing
1420650353742,27.968757051762168,74.55997668422559,-33.96405802862439,standing
1420650353793,28.110026377384127,74.72842692246563,-34.19754439664109,standing
1420650353843,28.110026377384127,74.72842692246563,-34.19754439664109,standing
1420650353893,28.31471541160701,74.89047447889152,-34.50075497972127,standing
